Date,Prix,rendement
2017-01-02,1021.75,0.02319323561568165
2017-01-03,1043.8399658203125,0.021389344804025434
2017-01-04,1154.72998046875,0.10096034523200359
2017-01-05,1013.3800048828124,-0.1305752503587252
2017-01-06,902.2009887695312,-0.11620924119418063
2017-01-07,908.5850219726562,0.007051147530085622
2017-01-08,911.198974609375,0.002872818355796447
2017-01-09,902.8280029296876,-0.009229224484763598
2017-01-10,907.6790161132812,0.0053587472913489975
2017-01-11,777.7570190429688,-0.15447664907682235
2017-01-12,804.833984375,0.03422186501689417
2017-01-13,823.9840087890625,0.023515097351718417
2017-01-14,818.4119873046875,-0.006785261137378207
2017-01-15,821.7979736328125,0.004128728905042678
2017-01-16,831.5339965820312,0.011777592965048989
2017-01-17,907.93798828125,0.08790389778017538
2017-01-18,886.6179809570312,-0.02376187851963607
2017-01-19,899.072998046875,0.013950027432390044
2017-01-20,895.0260009765625,-0.004511461114076631
2017-01-21,921.7890014648438,0.029463579406781015
2017-01-22,924.6729736328124,0.003123784353015857
2017-01-23,921.0120239257812,-0.003967041519034709
2017-01-24,892.68701171875,-0.031237062820324013
2017-01-25,901.5419921875,0.00987059326696027
2017-01-26,917.5859985351562,0.017639684998949967
2017-01-27,919.75,0.0023555870752023367
2017-01-28,921.5900268554688,0.001998574343793358
2017-01-29,919.4959716796876,-0.0022748052839061117
2017-01-30,920.3820190429688,0.0009631589010199448
2017-01-31,970.4030151367188,0.05292264278631098
2017-02-01,989.0230102539062,0.019006132801863806
2017-02-02,1011.7999877929688,0.022768592259201803
2017-02-03,1029.9100341796875,0.01774054215906329
2017-02-04,1042.9000244140625,0.012533864584718835
2017-02-05,1027.3399658203125,-0.015032413323471161
2017-02-06,1038.1500244140625,0.010467402259395797
2017-02-07,1061.3499755859375,0.022101353214739383
2017-02-08,1063.0699462890625,0.001619238325925032
2017-02-09,994.3829956054688,-0.06679373711864844
2017-02-10,988.6740112304688,-0.005757777136341957
2017-02-11,1004.4500122070312,0.015830756402560375
2017-02-12,999.1810302734376,-0.005259445444450783
2017-02-13,990.6420288085938,-0.008582726834247545
2017-02-14,1004.5499877929688,0.013941699990017042
2017-02-15,1007.47998046875,0.002912476248507545
2017-02-16,1027.43994140625,0.019618070354986195
2017-02-17,1046.2099609375,0.018103858479592283
2017-02-18,1054.4200439453125,0.007816821423608289
2017-02-19,1047.8699951171875,-0.006231366653728365
2017-02-20,1079.97998046875,0.030182976618057467
2017-02-21,1115.300048828125,0.032180966437300285
2017-02-22,1117.43994140625,0.0019168315546735926
2017-02-23,1166.719970703125,0.04315606560435903
2017-02-24,1173.6800537109375,0.005947789654450197
2017-02-25,1143.8399658203125,-0.02575316445722109
2017-02-26,1165.199951171875,0.01850171104290599
2017-02-27,1179.969970703125,0.012596285399297358
2017-02-28,1179.969970703125,0.0
2017-03-01,1222.5,0.03540895276981093
2017-03-02,1251.010009765625,0.02305329049724314
2017-03-03,1274.989990234375,0.018987094918869296
2017-03-04,1255.1500244140625,-0.01568322097796848
2017-03-05,1267.1199951171875,0.009491498113520791
2017-03-06,1272.8299560546875,0.004496128401150656
2017-03-07,1223.5400390625,-0.039494404934135474
2017-03-08,1150.0,-0.06198638601041129
2017-03-09,1188.489990234375,0.032921643223535746
2017-03-10,1116.719970703125,-0.062287794611084024
2017-03-11,1175.8299560546875,0.05157845284233975
2017-03-12,1221.3800048828125,0.03800712718862531
2017-03-13,1231.9200439453125,0.008592592591656789
2017-03-14,1240.0,0.006537416006713315
2017-03-15,1249.6099853515625,0.007720111292730536
2017-03-16,1187.81005859375,-0.05072016609052099
2017-03-17,1100.22998046875,-0.07659209371416775
2017-03-18,973.8179931640624,-0.12205008924073013
2017-03-19,1036.739990234375,0.06261202328713988
2017-03-20,1054.22998046875,0.016729458954285903
2017-03-21,1120.5400390625,0.06100012272536581
2017-03-22,1049.1400146484375,-0.0658399519210997
2017-03-23,1038.5899658203125,-0.010106803783773266
2017-03-24,937.52001953125,-0.10238115832507777
2017-03-25,972.7789916992188,0.03691880349154797
2017-03-26,966.7249755859376,-0.006242870215820595
2017-03-27,1045.77001953125,0.07859470878677666
2017-03-28,1047.1500244140625,0.0013187365535509699
2017-03-29,1039.969970703125,-0.0068803730046616
2017-03-30,1026.4300537109375,-0.013105023821427864
2017-03-31,1071.7900390625,0.0432433697911625
2017-04-01,1080.5,0.008093712582577517
2017-04-02,1102.1700439453125,0.019857106712705352
2017-04-03,1143.81005859375,0.037083842797371425
2017-04-04,1133.25,-0.00927523563605881
2017-04-05,1124.780029296875,-0.007502123814714601
2017-04-06,1182.6800537109375,0.050195608063321906
2017-04-07,1176.9000244140625,-0.004899211441568241
2017-04-08,1175.949951171875,-0.0008075936023832497
2017-04-09,1187.8699951171875,0.010085493189349037
2017-04-10,1187.1300048828125,-0.0006231496912176837
2017-04-11,1205.010009765625,0.014949240225947236
2017-04-12,1200.3699951171875,-0.0038580352329784517
2017-04-13,1169.280029296875,-0.026241638711645088
2017-04-14,1167.5400390625,-0.0014891951498530176
2017-04-15,1172.52001953125,0.004256290746533331
2017-04-16,1182.93994140625,0.008847520245842233
2017-04-17,1193.9100341796875,0.0092308482079142
2017-04-18,1211.6700439453125,0.014765945740239594
2017-04-19,1210.2900390625,-0.0011395770242774717
2017-04-20,1229.0799560546875,0.015405853693440719
2017-04-21,1222.050048828125,-0.005736069884235917
2017-04-22,1231.7099609375,0.007873599679879106
2017-04-23,1207.2099609375,-0.02009153636734684
2017-04-24,1250.1500244140625,0.034951683932622934
2017-04-25,1265.489990234375,0.012195827596242381
2017-04-26,1281.0799560546875,0.012244046631327166
2017-04-27,1317.72998046875,0.028207106559154482
2017-04-28,1316.47998046875,-0.0009490512239791471
2017-04-29,1321.7900390625,0.004025414930822535
2017-04-30,1347.8900146484375,0.019553509516994083
2017-05-01,1421.5999755859375,0.05324256303040009
2017-05-02,1452.8199462890625,0.021723477635178234
2017-05-03,1490.0899658203125,0.025330039559928963
2017-05-04,1537.6700439453125,0.031431814391310375
2017-05-05,1555.449951171875,0.011496549171071457
2017-05-06,1578.800048828125,0.014900234291777892
2017-05-07,1596.7099609375,0.01128014206288519
2017-05-08,1723.3499755859375,0.07632481902191035
2017-05-09,1755.3599853515625,0.018403898923351925
2017-05-10,1787.1300048828125,0.017937028143165
2017-05-11,1848.5699462890625,0.03380135427898434
2017-05-12,1724.239990234375,-0.06962597013852267
2017-05-13,1804.9100341796875,0.04572437995723799
2017-05-14,1808.9100341796875,0.0022137248439948465
2017-05-15,1738.4300537109375,-0.03974203487147232
2017-05-16,1734.449951171875,-0.0022921058464477895
2017-05-17,1839.0899658203125,0.05858053337167224
2017-05-18,1888.6500244140625,0.026591435579729428
2017-05-19,1987.7099609375,0.05112090162962346
2017-05-20,2084.72998046875,0.04765613840375238
2017-05-21,2041.199951171875,-0.021101494807389543
